"ID";"usefulNameBase";"uniqueName";"surfaceName";"属性";"死亡ドロップアイテムID";"強特攻耐性";"特攻耐性";"強元気耐性";"元気耐性";"強頑強耐性";"頑強耐性";"強特攻弱点";"特攻弱点";"強脱力弱点";"脱力弱点";"強軟弱弱点";"軟弱弱点";"$/クラス";"出現階";"経験値";"MHP";"攻撃力";"防御力";"デフォルト速度移動";"デフォルト速度攻撃";"$/メモ";"特殊使用率";"特殊消費SP";"$/メモ";"汎用定数一";"$/メモ";"汎用定数二";"$/メモ";"汎用定数三";"$/メモ";"汎用定数四"
;;;;;"2009|20";;;;;;;;;;;;;"CLASS 4";95;7500;220;125;40;0;0;;100;0;;4;;3;;10;;10
;;;;;"2012|8";;;;;;;;;;;;;"CLASS ＥＸ";105;13000;242;138;44;0;0;;100;0;;4;;3;;10;;10
2007;"ルーミア";"ルーミア";"ルーミア";"妖怪";"0|960";;;;;;;;;;;;;"CLASS 0";3;3;14;8;4;0;0;;0;10;"暗闇半径";1;;0;;0;;0
;;;;;"-1|30";;;;;;;;;;;;;"CLASS 1";9;13;50;21;7;0;0;;0;10;;2;;0;;0;;0
;;;;;"3012|10";;;;;;;;;;;;;"CLASS 2";22;60;90;42;8;0;0;;0;10;;3;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";36;180;140;58;10;0;0;;0;10;;4;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";70;1700;220;140;12;0;0;;0;10;;5;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";80;3100;242;154;13;0;0;;0;10;;5;;0;;0;;0
2008;"ニトリ";"ニトリ";"ニトリ";"妖怪";"0|980";;;;"水";;"水";;"雷";;;;;"CLASS 0";6;7;30;13;9;0;0;"アイテム泥棒";35;50;"アイテム所持制限数";2;"元気頑強強度";2;"元気頑強ターン";500;"エスケープ時攻撃率％";50
;;;;;"-1|15";;;;;;;;;;;;;"CLASS 1";14;26;56;20;12;0;0;;35;30;;3;;3;;500;;50
;;;;;"3016|5";;;;;;;;;;;;;"CLASS 2";34;160;135;42;23;0;0;;35;25;;4;;4;;500;;50
;;;;;;;;;;;;;;;;;;"CLASS 3";51;530;170;60;35;0;0;;35;20;;5;;5;;500;;50
;;;;;;;;;;;;;;;;;;"CLASS 4";73;2100;250;150;40;0;0;;35;20;;5;;5;;500;;50
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";83;3700;275;165;44;0;0;;35;20;;5;;5;;500;;50
2009;"エイキ";"エイキ";"エイキ";"閻魔";"0|940";;;;;;;;;;;;;"CLASS 0";9;13;45;20;7;0;0;"説教（ひるみ）";30;100;"ひるみターン";2;;0;;0;;0
;;;;;"-1|30";;;;;;;;;;;;;"CLASS 1";21;55;80;37;12;0;0;;30;100;;3;;0;;0;;0
;;;;;"1031|25";;;;;;;;;;;;;"CLASS 2";30;110;105;43;16;0;0;;30;50;;3;;0;;0;;0
;;;;;"3049|5";;;;;;;;;;;;;"CLASS 3";50;500;140;55;21;0;0;;30;25;;4;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";81;3300;180;150;32;0;0;;30;20;;4;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";91;6000;198;165;35;0;0;;30;20;;4;;0;;0;;0
2010;"ヒナ";"ヒナ";"ヒナ";"神";"0|950";;;;;;;;"爆";;;;;"CLASS 0";5;6;68;10;2;0;0;"厄吸収";30;100;"厄爆発アイテム汚染数";1;"元気頑強強度";3;"元気頑強ターン";3000;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";16;33;140;24;8;0;0;;30;100;;1;;4;;3000;;0
;;;;;"1042|10";;;;;;;;;;;;;"CLASS 2";30;110;182;36;12;0;0;;30;100;;2;;6;;3000;;0
;;;;;"3005|30";;;;;;;;;;;;;"CLASS 3";55;690;260;80;20;0;0;;30;100;;3;;8;;3000;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";90;5600;420;150;25;0;0;;30;100;;4;;10;;3000;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";100;10000;462;150;28;0;0;;30;100;;4;;10;;3000;;0
2011;"ユユコ";"ユユコ";"ユユコ";"幽霊";"0|950";;;;;;;;;;;;;"CLASS 0";7;9;38;18;8;0;0;"死の誘い";25;100;"死の誘いターン";10;"ふらつき率％";50;;0;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";13;23;65;28;15;0;0;;25;100;;7;;50;;0;;0
;;;;;"1009|30";;;;;;;;;;;;;"CLASS 2";27;93;115;45;17;0;0;;25;100;;5;;50;;0;;0
;;;;;"3013|10";;;;;;;;;;;;;"CLASS 3";42;290;190;68;20;0;0;;25;100;;4;;50;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";75;2300;320;150;20;0;0;;25;100;;3;;50;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";85;4200;352;165;22;0;0;;25;100;;3;;50;;0;;0
2012;"ヨウム";"ヨウム";"ヨウム";"人間";"0|950";;;;;;;;;;"水";;;"CLASS 0";7;9;26;14;9;0;0;"装備弾き飛ばし";25;25;"飛ばし距離";1;"武器飛ばしフラグ";0;"防具飛ばしフラグ";0;"スペル飛ばしフラグ";1
;;;;"幽霊";"-1|10";;;;;;;;;;;;;"CLASS 1";12;20;52;28;10;0;0;;25;25;;3;;1;;0;;1
;;;;;"1005|15";;;;;;;;;;;;;"CLASS 2";34;160;85;44;19;0;0;;25;25;;4;;1;;1;;1
;;;;;"1006|15";;;;;;;;;;;;;"CLASS 3";66;1300;140;90;22;0;0;;25;20;;5;;1;;1;;1
;;;;;"3006|10";;;;;;;;;;;;;"CLASS 4";75;2300;220;170;25;0;0;;25;10;;10;;1;;1;;1
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";85;4200;242;187;28;0;0;;25;10;;10;;1;;1;;1
2013;"チルノ";"チルノ";"チルノ";"妖精";"0|940";;;;"冷";;"冷";;"火";;"火";;"火";"CLASS 0";3;3;12;7;3;0;0;"氷付け";40;50;"氷付け効果ターン";5;"冷気耐性％";50;;0;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";8;11;38;15;8;0;0;;45;50;;5;;50;;0;;0
;;;;;"1050|40";;;;;;;;;;;;;"CLASS 2";26;86;115;38;15;0;0;;50;25;;7;;50;;0;;0
;;;;;"3015|10";;;;;;;;;;;;;"CLASS 3";36;180;155;55;22;0;0;;50;20;;7;;50;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";70;1700;240;140;25;0;0;;50;10;;10;;50;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";80;3100;264;154;28;0;0;;50;10;;10;;50;;0;;0
2014;"マリサ";"マリサ";"マリサ";"人間";"0|0";;;;;;;;;;;;;"CLASS 0";5;6;42;8;5;0;0;"泥棒";100;100;"様子見確率％";80;"装備品泥棒(スペルのみ)";0;"暇投げ距離";4;;0
;3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"泥棒";"-1|930";;;;;;;;;;;;;"CLASS 1";11;18;58;15;10;0;0;;100;100;;60;;0;;6;;0
;;;;"魔法使い";"1034|60";;;;;;;;;;;;;"CLASS 2";37;200;120;45;20;0;0;;100;100;;50;;0;;10;;0
;;;;;"3004|10";;;;;;;;;;;;;"CLASS 3";68;1500;170;110;30;0;0;;100;100;;50;;1;;20;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";90;5600;250;180;40;0;0;;100;100;;40;;1;;100;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";100;10000;275;198;44;0;0;;100;100;;40;;1;;100;;0
2015;"パチュリー";"パチュリー";"パチュリー";"魔法使い";"0|970";;"冷";;;;;;;;;;;"CLASS 0";7;9;20;1;4;-1;-1;"全属性攻撃魔法";30;10;"全属性攻撃耐性％";50;"特殊攻撃攻撃力";20;;0;;0
;;;;;"-1|20";;"火";;;;;;;;;;;"CLASS 1";12;20;42;1;10;-1;-1;;60;10;;50;;30;;0;;0
;;;;;"3008|10";;"水";;;;;;;;;;;"CLASS 2";29;110;60;1;20;0;0;;75;10;;50;;30;;0;;0
;;;;;;;"爆";;;;;;;;;;;"CLASS 3";38;210;80;1;25;0;0;;75;10;;50;;40;;0;;0
;;;;;;;"気";;;;;;;;;;;"CLASS 4";72;1900;150;1;30;0;0;;80;0;;50;;60;;0;;0
;;;;;;;"雷";;;;;;;;;;;"CLASS ＥＸ";82;1900;165;1;33;0;0;;80;0;;50;;66;;0;;0
2016;"コアクマ";"コアクマ";"コアクマ";"鬼";"0|970";;;;;;;;"爆";;;;;"CLASS 0";6;7;65;9;8;0;0;;0;10;"爆発ダメージ％";20;;0;;0;;0
;;;;"妖怪";"-1|30";;;;;;;;;;;;;"CLASS 1";8;11;97;18;8;0;0;;0;10;;25;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 2";29;110;175;40;10;0;0;;0;10;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";38;210;240;50;12;0;0;;0;10;;75;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";72;1900;360;100;14;0;0;;0;10;;80;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";82;3500;396;110;16;0;0;;0;10;;80;;0;;0;;0
2017;"ウドンゲ";"ウドンゲ";"ウドンゲ";"妖怪";"0|960";;;;;;;;;;;;;"CLASS 0";5;6;28;12;6;0;0;"錯乱";30;100;;0;;0;;0;;0
;;;;"獣";"-1|30";;;;;;;;;;;;;"CLASS 1";12;20;62;19;10;0;0;;30;33;;0;;0;;0;;0
;;;;;"3007|10";;;;;;;;;;;;;"CLASS 2";34;160;125;40;15;0;0;;30;25;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";66;1300;165;85;21;0;0;;30;20;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";80;3100;230;140;30;0;0;;35;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";90;5600;263;154;33;0;0;;35;10;;0;;0;;0;;0
2018;"アヤ";"アヤ";"アヤ";"天狗";"0|950";;;;;;;;;"水";;;"水";"CLASS 0";8;11;33;14;4;1;0;"吹き飛ばし";25;10;"吹き飛ばし距離";5;"吹き飛ばしダメージ";5;;0;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";19;45;65;24;12;1;0;;25;10;;5;;10;;0;;0
;;;;;"1027|30";;;;;;;;;;;;;"CLASS 2";32;130;80;25;18;1;1;;25;10;;10;;15;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";54;640;130;48;25;1;1;;30;10;;10;;20;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";83;3700;190;82;25;2;2;;30;10;;10;;30;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";93;6700;209;90;28;2;2;;30;10;;10;;30;;0;;0
2019;"レイム";"レイム";"レイム";"人間";"0|930";;;;;;;;;;;;;"CLASS 0";6;7;38;14;6;0;0;"ホーミング弾";40;30;"ホーミング弾威力";12;"射程";2;"投稿物をXダメージに（0の場合は無効）";0;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";13;23;62;35;15;0;0;;25;25;;32;;4;;0;;0
;;;;;"1033|25";;;;;;;;;;;;;"CLASS 2";37;200;110;52;28;0;0;;18;20;;48;;6;;0;;0
;;;;;"3003|5";;;;;;;;;;;;;"CLASS 3";68;1500;180;98;37;0;0;;15;10;;92;;9;;0;;0
;;;;;"2010|30";;;;;;;;;;;;;"CLASS 4";90;5600;280;200;42;0;0;;10;5;;200;;20;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";100;10000;308;220;46;0;0;;10;5;;220;;20;;0;;0
2020;"リンノスケ";"リンノスケ";"リンノスケ";"人間";"0|1000";;;;;;;;;;;;;"CLASS 0";1;10;300;500;200;0;0;;0;10;"魔法乱反射";1;"アイテム反射";0;"即死耐性";0;"ダメージ固定１";0
;;;;"妖怪";"3000|1000";;;;;;;;;;;;;"CLASS 1";1;10;400;600;250;0;0;;0;10;;1;;1;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 2";1;10;500;700;300;0;0;;0;10;;1;;1;;1;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";1;10;500;800;400;0;0;;0;10;;1;;1;;1;;1
;;;;;;;;;;;;;;;;;;"CLASS 4";1;10;500;800;500;1;1;;0;10;;1;;1;;1;;1
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";1;10;500;880;550;1;1;;0;10;;1;;1;;1;;1
2021;"ノラケダマアシュ";"ノラケダマアシュ";"ノラケダマアシュ";"毛玉";"0|0";;;;;;;;;;;;;"CLASS 0";20;50;5;32;0;0;0;;0;0;"ダメージ強制";1;"異常状態無効";0;"ドロップお金ID";;;0
;;;;;;;;;;;;;;;;;;"CLASS 1";32;130;10;32;0;0;0;;0;0;;1;;1;;;;0
;;;;;;;;;;;;;;;;;;"CLASS 2";70;1700;10;70;0;1;1;;0;0;;1;;1;;;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";95;7500;10;150;0;1;1;;0;0;;1;;1;;;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";99;9400;10;150;0;2;2;;0;0;;1;;1;;;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";109;16000;10;165;0;2;2;;0;0;;1;;1;;;;0
2022;"サナエ";"サナエ";"サナエ";"人間";"0|960";;;;;;;;;;;;;"CLASS 0";5;6;35;14;4;0;0;"ケロケロ雨";30;25;"使用魔術書ID";6006;"使用魔術書ID";6010;"使用魔術書ID";6001;"使用魔術書ID";6012
;;;;"神";"-1|15";;;;;;;;;;;;;"CLASS 1";12;20;60;20;8;0;0;;30;20;;6006;;6010;;6005;;6012
;;;;;"3032|10";;;;;;;;;;;;;"CLASS 2";30;110;85;29;10;0;0;;35;15;;6006;;6017;;6013;;6004
;;;;;"6006|20";;;;;;;;;;;;;"CLASS 3";49;460;125;45;12;0;0;;35;10;;6006;;6004;;6009;;6005
;;;;;;;;;;;;;;;;;;"CLASS 4";73;2100;140;80;15;0;0;;40;5;;6006;;6000;;6014;;6016
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";83;3700;150;88;15;0;0;;40;5;;6006;;6000;;6014;;6016
2023;"メイリン";"メイリン";"メイリン";"妖怪";"0|960";;"気";;;;;;;;;;;"CLASS 0";5;6;26;9;10;0;0;"必殺の一撃";25;0;"必殺の一撃ダメージUP％";50;"気属性耐性";50;"+弾幕のダメージ倍率";50;;0
;;;;;"-1|15";;;;;;;;;;;;;"CLASS 1";9;13;52;13;18;0;0;;25;0;;50;;50;;50;;0
;;;;;"3019|10";;;;;;;;;;;;;"CLASS 2";27;93;140;35;33;0;0;;25;0;;50;;50;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";38;210;175;50;48;0;0;;25;0;;50;;50;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";72;1900;280;110;72;0;0;;25;0;;50;;50;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";82;3500;290;121;79;0;0;;25;0;;50;;50;;50;;0
2024;"トキコ";"トキコ";"トキコ";"妖怪";"0|100";;;;;;;;;;;;;"CLASS 0";1;10;80;70;40;1;1;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 1";1;10;140;90;45;1;1;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 2";1;10;220;120;50;1;1;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";1;10;300;150;55;1;1;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";1;10;350;200;60;1;1;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";1;10;385;220;63;1;1;;0;0;;0;;0;;0;;0
2025;"イク";"イク";"イク";;"0|950";;"雷";;;;;;;;"冷";;"冷";"CLASS 0";7;9;30;13;6;0;0;"落雷";2;50;"電気耐性%";50;"落雷ダメージ";5;;0;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";18;41;75;25;12;0;0;;2;50;;50;;10;;0;;0
;;;;;"1003|15";;;;;;;;;;;;;"CLASS 2";41;270;120;38;20;0;0;;4;25;;50;;20;;0;;0
;;;;;"1060|15";;;;;;;;;;;;;"CLASS 3";50;500;140;58;25;0;0;;4;25;;50;;25;;0;;0
;;;;;"3034|10";;;;;;;;;;;;;"CLASS 4";81;3300;220;130;30;0;0;;8;10;;50;;30;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";91;6000;242;143;33;0;0;;8;10;;50;;30;;0;;0
2026;"シズハ";"シズハ";"シズハ";"神";"0|960";;;;;;;;;;"冷";;"冷";"CLASS 0";3;3;7;5;3;0;0;"満腹度低下";50;25;"追加ドロップID";4000;"満腹度減少量";10;;0;;0
;;;;;"-1|20";;;;;;;;;;;;;"CLASS 1";7;9;23;10;5;0;0;;50;25;;4000;;20;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 2";23;66;55;22;6;0;0;;50;20;;4000;;30;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";54;640;100;36;7;0;0;;50;20;;4000;;35;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";83;3700;150;43;10;0;0;;50;10;;4000;;40;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";93;6700;165;46;11;0;0;;50;10;;4000;;40;;0;;0
2027;"スイカ";"スイカ";"スイカ";"鬼";"0|950";;;;;;;;;;;;;"CLASS 0";8;11;35;16;9;0;0;"8方向泥酔攻撃";20;100;"泥酔ターン";3;"分裂確率％";10;"分裂消費SP";100;;0
;;;;;"-1|10";;;;;;;;;;;;;"CLASS 1";18;41;74;35;11;0;0;;25;50;;3;;12;;50;;0
;;;;;"1037|30";;;;;;;;;;;;;"CLASS 2";33;150;100;45;14;0;0;;30;50;;4;;15;;33;;0
;;;;;"3027|10";;;;;;;;;;;;;"CLASS 3";50;500;145;80;17;0;0;;30;50;;5;;20;;33;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";81;3300;230;180;20;0;0;;35;25;;10;;25;;20;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";91;6000;263;198;20;0;0;;35;25;;10;;25;;20;;0
2028;"スワコ";"スワコ";"スワコ";"神";"0|970";;;;"水";;"水";;"雷";;"冷";;"冷";"CLASS 0";5;6;23;12;5;0;0;"呪い攻撃";25;100;"脱力軟弱強度";10;"脱力軟弱ターン";3000;"水属性耐性％";50;;0
;;;;;"-1|20";;;;;;;;;;;;;"CLASS 1";16;33;48;24;14;0;0;;30;50;;10;;3000;;50;;0
;;;;;"3011|10";;;;;;;;;;;;;"CLASS 2";31;120;78;30;24;0;0;;40;33;;5;;3000;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";63;1100;132;70;32;0;0;;40;33;;5;;3000;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";83;3700;180;120;40;0;0;;50;25;;5;;3000;;50;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";93;6700;198;132;44;0;0;;50;25;;5;;3000;;50;;0
2029;"テンシ";"テンシ";"テンシ";"人間";"0|940";;;;;;;;;;;;;"CLASS 0";7;9;48;15;20;0;0;"飛ばし攻撃";20;20;"吹き飛ばしダメージ";15;"吹き飛ばし距離";2;"頑強強度";1;"頑強ターン";5
;;;;;"-1|20";;;;;;;;;;;;;"CLASS 1";18;41;72;25;27;0;0;;30;20;;20;;2;;2;;5
;;;;;"1052|30";;;;;;;;;;;;;"CLASS 2";41;270;110;32;38;0;0;;30;20;;25;;3;;2;;10
;;;;;"1053|0";;;;;;;;;;;;;"CLASS 3";50;500;125;36;48;0;0;;35;20;;30;;3;;2;;10
;;;;;"3056|10";;;;;;;;;;;;;"CLASS 4";81;3300;160;120;75;0;0;;40;10;;40;;4;;3;;20
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";91;6000;176;132;82;0;0;;40;10;;40;;4;;3;;20
2030;"パルスィ";"パルスィ";"パルスィ";"神";"0|960";;;;;;;;;;;;;"CLASS 0";6;7;26;12;5;0;0;;20;20;;10;"被攻撃時元気強度";1;"元気ターン";10;;0
;;;;;"-1|30";;;;;;;;;;;;;"CLASS 1";19;45;78;22;13;0;0;;20;20;;15;;2;;10;;0
;;;;;"3031|10";;;;;;;;;;;;;"CLASS 2";29;110;110;38;18;0;0;;30;10;;20;;3;;20;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";58;830;165;80;23;0;0;;30;10;;20;;3;;20;;0
;;;;;;;;;;;;;;;;;;"CLASS 4";86;4500;240;180;28;0;0;;50;10;;25;;4;;30;;0
;;;;;;;;;;;;;;;;;;"CLASS ＥＸ";96;7900;264;198;31;0;0;;50;10;;25;;4;;30;;0
2031;"ミノリコ";"ミノリコ";"ミノリコ";"神";"0|960";;;;;;;;;;"冷";;"冷";"CLASS 0";3;3;8;8;3;0;0;"おにぎらいず";0;0;"変化アイテムＩＤ";4013;;0;;0;;0
;;;;;"-1|30";;;;;;;;;;;;;"CLASS 1";7;9;26;14;5;0;0;;25;20;;4013;;0;;0;;0
;;;;;"3051|10";;;;;;;;;;;;;"CLASS 2";23;66;88;33;9;0;0;;25;20;;4013;;0;;0;;0
;;;;;;;;;;;;;;;;;;"CLASS 3";54;640;160;64;12;0;0;;25;10;;4013;;0;;0;;0
